Period and Financial year,Reporting Period,Days in period,Period beginning,Period ending,Bus journeys (m),Underground journeys (m),DLR Journeys (m),Tram Journeys (m),Overground Journeys (m),Emirates Airline Journeys (m)
01_10/11,1,31,01-Apr-10,01-May-10,189.1,90.5,6.3,2.3,,
02_10/11,2,28,02-May-10,29-May-10,181.6,84.5,5.8,2.2,,
03_10/11,3,28,30-May-10,26-Jun-10,175.9,84.3,5.8,2.1,,
04_10/11,4,28,27-Jun-10,24-Jul-10,183.4,86.5,6.1,2.1,,
05_10/11,5,28,25-Jul-10,21-Aug-10,160.4,82.9,5.8,2.0,,
06_10/11,6,28,22-Aug-10,18-Sep-10,175.8,80.9,5.5,2.0,,
07_10/11,7,28,19-Sep-10,16-Oct-10,189.8,88.7,6.3,2.3,,
08_10/11,8,28,17-Oct-10,13-Nov-10,179.9,90.3,6.7,2.2,5.6,
09_10/11,9,28,14-Nov-10,11-Dec-10,178.8,90.6,6.4,2.3,5.4,
10_10/11,10,28,12-Dec-10,08-Jan-11,140.1,72.5,4.8,1.8,3.5,
11_10/11,11,28,09-Jan-11,05-Feb-11,183.0,84.4,6.3,2.1,5.2,
12_10/11,12,28,06-Feb-11,05-Mar-11,177.2,87.8,6.5,2.2,5.2,
13_10/11,13,26,06-Mar-11,31-Mar-11,173.9,83.5,6.0,2.1,5.8,
01_11/12,1,30,01-Apr-11,30-Apr-11,183.8,91.2,6.4,2.1,6.3,
02_11/12,2,28,01-May-11,28-May-11,186.1,87.8,6.3,2.2,6.4,
03_11/12,3,28,29-May-11,25-Jun-11,181.7,88.9,6.1,2.2,6.9,
04_11/12,4,28,26-Jun-11,23-Jul-11,186.7,92.5,6.4,2.3,7.6,
05_11/12,5,28,24-Jul-11,20-Aug-11,161.1,85.5,6.2,1.9,7.7,
06_11/12,6,28,21-Aug-11,17-Sep-11,173.9,85.3,6.4,2.1,7.7,
07_11/12,7,28,18-Sep-11,15-Oct-11,193.4,93.1,7.5,2.4,8.7,
08_11/12,8,28,16-Oct-11,12-Nov-11,185.2,95.8,7.3,2.3,8.8,
09_11/12,9,28,13-Nov-11,10-Dec-11,189.4,97.1,7.1,2.4,9.0,
10_11/12,10,28,11-Dec-11,07-Jan-12,151.2,79.3,5.2,1.9,6.9,
11_11/12,11,28,08-Jan-12,04-Feb-12,181.4,89.8,6.9,2.2,8.7,
12_11/12,12,28,05-Feb-12,03-Mar-12,179.5,91.5,7.0,2.0,8.8,
13_11/12,13,28,04-Mar-12,31-Mar-12,191.2,92.7,7.3,2.3,9.1,
01_12/13,1,28,01-Apr-12,28-Apr-12,171.8,88.7,7.0,2.1,8.5,
02_12/13,2,28,29-Apr-12,26-May-12,189.2,92.6,7.4,2.3,8.9,
03_12/13,3,28,27-May-12,23-Jun-12,176.5,89.7,7.0,2.2,8.6,
04_12/13,4,28,24-Jun-12,21-Jul-12,189.9,96.9,7.9,2.5,8.9,0.24
05_12/13,5,28,22-Jul-12,18-Aug-12,167.1,103.0,10.6,2.3,10.5,0.53
06_12/13,6,28,19-Aug-12,15-Sep-12,177.0,94.0,8.7,2.4,9.8,0.38
07_12/13,7,28,16-Sep-12,13-Oct-12,194.2,98.2,7.7,2.5,9.7,0.16
08_12/13,8,28,14-Oct-12,10-Nov-12,184.7,100.4,8.0,2.2,9.8,0.18
09_12/13,9,28,11-Nov-12,08-Dec-12,187.6,101.9,7.7,2.5,10.0,0.12
10_12/13,10,28,09-Dec-12,05-Jan-13,151.9,79.0,5.7,2.0,8.2,0.11
11_12/13,11,28,06-Jan-13,02-Feb-13,178.1,91.7,7.3,2.3,10.2,0.07
12_12/13,12,28,03-Feb-13,02-Mar-13,180.3,96.7,7.6,2.4,10.7,0.12
13_12/13,13,29,03-Mar-13,31-Mar-13,186.5,96.6,7.6,2.4,10.8,0.07
01_13/14,1,27,01-Apr-13,27-Apr-13,171.6,92.1,7.6,2.3,10.3,0.14
02_13/14,2,28,28-Apr-13,25-May-13,188.8,97.2,7.9,2.5,10.3,0.13
03_13/14,3,28,26-May-13,22-Jun-13,183.5,95.9,7.7,2.4,10.9,0.14
04_13/14,4,28,23-Jun-13,20-Jul-13,190.2,100.8,8.0,2.5,11.3,0.15
05_13/14,5,28,21-Jul-13,17-Aug-13,166.3,94.1,7.5,2.2,10.6,0.19
06_13/14,6,28,18-Aug-13,14-Sep-13,173.7,91.0,7.2,2.0,10.4,0.17
07_13/14,7,28,15-Sep-13,12-Oct-13,194.5,101.4,7.9,2.6,11.2,0.10
08_13/14,8,28,13-Oct-13,09-Nov-13,186.3,103.7,8.2,2.4,9.6,0.10
09_13/14,9,28,10-Nov-13,07-Dec-13,193.2,106.3,8.2,2.6,10.6,0.08
10_13/14,10,28,08-Dec-13,04-Jan-14,155.1,83.9,6.5,2.0,8.1,0.07
11_13/14,11,28,05-Jan-14,01-Feb-14,186.6,96.8,7.8,2.4,10.3,0.07
12_13/14,12,28,02-Feb-14,01-Mar-14,185.6,94.3,8.3,2.4,10.8,0.08
13_13/14,13,30,02-Mar-14,31-Mar-14,206.9,107.0,8.3,2.8,11.3,0.09
01_14/15,1,26,01-Apr-14,26-Apr-14,164.1,88.8,7.6,2.2,9.7,0.14
02_14/15,2,28,27-Apr-14,24-May-14,192.8,92.2,8.3,2.4,10.5,0.11
03_14/15,3,28,25-May-14,21-Jun-14,188.1,98.2,8.3,2.2,10.5,0.13
04_14/15,4,28,22-Jun-14,19-Jul-14,191.1,102.6,8.3,2.5,10.8,0.12
05_14/15,5,28,20-Jul-14,16-Aug-14,169.2,97.3,8.2,1.9,10.6,0.18
06_14/15,6,28,17-Aug-14,13-Sep-14,176.5,93.2,8.2,2.3,10.8,0.17
07_14/15,7,28,14-Sep-14,11-Oct-14,198.8,104.1,8.7,2.6,10.8,0.11
08_14/15,8,28,12-Oct-14,08-Nov-14,190.2,108.6,9.2,2.4,11.0,0.13
09_14/15,9,28,09-Nov-14,06-Dec-14,195.6,111.2,9.2,2.6,11.2,0.09
10_14/15,10,28,07-Dec-14,03-Jan-15,156.8,87.0,6.9,2.1,8.7,0.09
11_14/15,11,28,04-Jan-15,31-Jan-15,178.2,100.2,8.6,2.5,11.4,0.07
12_14/15,12,28,01-Feb-15,28-Feb-15,176.3,105.7,9.0,2.5,11.1,0.12
13_14/15,13,31,01-Mar-15,31-Mar-15,207.5,116.3,10.0,2.7,12.6,0.07
01_15/16,1,26,01-Apr-15,26-Apr-15,204.9,114.3,10.2,2.3,13.3,0.16
02_15/16,2,28,27-Apr-15,24-May-15,,,,,,
03_15/16,3,28,25-May-15,21-Jun-15,,,,,,
04_15/16,4,28,22-Jun-15,19-Jul-15,,,,,,
05_15/16,5,28,20-Jul-15,16-Aug-15,,,,,,
06_15/16,6,28,17-Aug-15,13-Sep-15,,,,,,
07_15/16,7,28,14-Sep-15,11-Oct-15,,,,,,
08_15/16,8,28,12-Oct-15,08-Nov-15,,,,,,
09_15/16,9,28,09-Nov-15,06-Dec-15,,,,,,
10_15/16,10,28,07-Dec-15,03-Jan-16,,,,,,
11_15/16,11,28,04-Jan-16,31-Jan-16,,,,,,
12_15/16,12,28,01-Feb-16,28-Feb-16,,,,,,
13_15/16,13,31,29-Feb-16,30-Mar-16,,,,,,
